Date,Open,High,Low,Close,Prev_close,Change,%_change
2020-01-13,14.0775,14.495,13.5775,14.275,14.0775,0.2,1.4
2020-01-14,14.275,14.275,13.0625,13.9125,14.275,-0.36,-2.54
2020-01-15,13.9125,14.4575,13.585,14.12,13.9125,0.21,1.49
2020-01-16,14.12,14.365,12.5975,14.1825,14.12,0.06,0.44
2020-01-17,14.1825,14.53,12.5025,14.1275,14.1825,-0.05,-0.39
2020-01-20,14.1275,15.495,12.465,15.41,14.1275,1.28,9.08
2020-01-21,15.41,16.04,15.0725,15.8625,15.41,0.45,2.94
2020-01-22,15.8625,16.61,15.3575,16.36,15.8625,0.5,3.14
2020-01-23,16.36,16.7075,15.7775,15.855,16.36,-0.5,-3.09
2020-01-24,15.855,16.215,14.5925,15.56,15.855,-0.29,-1.86
2020-01-27,15.56,17.34,14.6825,17.175,15.56,1.62,10.38
2020-01-28,17.175,17.615,16.9575,17.2975,17.175,0.12,0.71
2020-01-29,17.2975,17.2975,15.6525,16.4975,17.2975,-0.8,-4.62
2020-01-30,16.4975,17.14,15.38,16.7975,16.4975,0.3,1.82
2020-01-31,16.7975,17.59,14.9025,17.3675,16.7975,0.57,3.39
2020-02-01,17.3675,17.93,16.0325,16.835,17.3675,-0.53,-3.07
2020-02-03,16.835,17.03,15.4825,15.7825,16.835,-1.05,-6.25
2020-02-04,15.7825,15.7825,14.31,14.38,15.7825,-1.4,-8.89
2020-02-05,14.38,14.525,13.8175,14.1725,14.38,-0.21,-1.44
2020-02-06,14.1725,14.2425,12.645,13.78,14.1725,-0.39,-2.77
2020-02-07,13.78,13.9925,12.975,13.7475,13.78,-0.03,-0.24
2020-02-10,13.7475,14.6,12.965,14.21,13.7475,0.46,3.36
2020-02-11,14.21,14.21,11.375,13.88,14.21,-0.33,-2.32
2020-02-12,13.88,13.88,13.1475,13.6225,13.88,-0.26,-1.86
2020-02-13,13.6225,13.6725,11.8,13.37,13.6225,-0.25,-1.85
2020-02-14,13.37,13.9875,11.9025,13.615,13.37,0.25,1.83
2020-02-17,13.615,14.6175,13.38,14.415,13.615,0.8,5.88
2020-02-18,14.415,14.82,11.375,14.51,14.415,0.1,0.66
2020-02-19,14.51,14.51,13.4825,14.0225,14.51,-0.49,-3.36
2020-02-20,14.0225,14.0275,10.165,13.7,14.0225,-0.32,-2.3
2020-02-24,13.7,17.375,12.295,16.9975,13.7,3.3,24.07
2020-02-25,16.9975,17.3175,15.62,16.8975,16.9975,-0.1,-0.59
2020-02-26,16.8975,18.865,16.5025,18.26,16.8975,1.36,8.06
2020-02-27,18.26,19.155,16.8275,17.765,18.26,-0.5,-2.71
2020-02-28,17.765,23.6975,17.4825,23.235,17.765,5.47,30.79
2020-03-02,23.235,26.3425,19.92,25.2025,23.235,1.97,8.47
